PRECINCT_NAME,CANDIDATE_FULL_NAME,contest_party_id,candidate_party_id,CONTEST_TYPE,contest_id,CONTEST_ORDER,CANDIDATE_ORDER,CONTEST_FULL_NAME,TOTAL,PRECINCT_ID,precinct_order,contest_vote_for,PROCESSED_DONE,PROCESSED_STARTED,CONTEST_TOTAL,IS_WRITEIN,undervote,overvote
0037 BALBOA,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),316,37,37,2,1,1,612,0,202,4
0062 BUCKLEY,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),146,62,62,2,1,1,287,0,97,0
0070 CAIRO,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),350,70,70,2,1,1,713,0,233,0
0163 DARROW,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),184,163,163,2,1,1,359,0,125,0
0187 DIABLO,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),157,187,187,2,1,1,321,0,123,0
0204 DWIGHT,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),177,204,204,2,1,1,349,0,91,0
0213 ELLSWORTH PARK,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),70,213,213,2,1,1,133,0,41,0
0214 ELWOOD,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),278,214,214,2,1,1,486,0,326,0
0218 ESCALANTE,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),150,218,218,2,1,1,288,0,98,0
0221 ESQUIRE,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),168,221,221,2,1,1,313,0,121,0
0274 GUERRERO,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),158,274,274,2,1,1,285,0,111,0
0287 HERITAGE,"MENDEZ, JUAN JOSE",2,2,0,173,173,1,DEM - State Rep Dst 26 (vote for 2),129,287,287,2,1,1,254,0,136,0
