PRECINCT_NAME,CANDIDATE_FULL_NAME,contest_party_id,candidate_party_id,CONTEST_TYPE,contest_id,CONTEST_ORDER,CANDIDATE_ORDER,CONTEST_FULL_NAME,TOTAL,PRECINCT_ID,precinct_order,contest_vote_for,PROCESSED_DONE,PROCESSED_STARTED,CONTEST_TOTAL,IS_WRITEIN,undervote,overvote
0037 BALBOA,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),619,37,37,2,1,1,2351,0,689,10
0037 BALBOA,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),736,37,37,2,1,1,2351,0,689,10
0037 BALBOA,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),721,37,37,2,1,1,2351,0,689,10
0037 BALBOA,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),275,37,37,2,1,1,2351,0,689,10
0037 BALBOA,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),0,37,37,2,1,1,0,1,689,10
0062 BUCKLEY,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),379,62,62,2,1,1,1306,0,388,6
0062 BUCKLEY,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),356,62,62,2,1,1,1306,0,388,6
0062 BUCKLEY,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),394,62,62,2,1,1,1306,0,388,6
0062 BUCKLEY,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),173,62,62,2,1,1,1306,0,388,6
0062 BUCKLEY,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),4,62,62,2,1,1,1306,1,388,6
0070 CAIRO,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),465,70,70,2,1,1,2215,0,521,6
0070 CAIRO,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),743,70,70,2,1,1,2215,0,521,6
0070 CAIRO,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),799,70,70,2,1,1,2215,0,521,6
0070 CAIRO,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),206,70,70,2,1,1,2215,0,521,6
0070 CAIRO,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),2,70,70,2,1,1,2215,1,521,6
0096 CENTENNIAL,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),338,96,96,2,1,1,1007,0,367,4
0096 CENTENNIAL,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),267,96,96,2,1,1,1007,0,367,4
0096 CENTENNIAL,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),263,96,96,2,1,1,1007,0,367,4
0096 CENTENNIAL,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),138,96,96,2,1,1,1007,0,367,4
0096 CENTENNIAL,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),1,96,96,2,1,1,1007,1,367,4
0163 DARROW,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),225,163,163,2,1,1,1257,0,261,14
0163 DARROW,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),464,163,163,2,1,1,1257,0,261,14
0163 DARROW,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),440,163,163,2,1,1,1257,0,261,14
0163 DARROW,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),125,163,163,2,1,1,1257,0,261,14
0163 DARROW,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),3,163,163,2,1,1,1257,1,261,14
0187 DIABLO,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),302,187,187,2,1,1,1209,0,303,6
0187 DIABLO,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),345,187,187,2,1,1,1209,0,303,6
0187 DIABLO,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),413,187,187,2,1,1,1209,0,303,6
0187 DIABLO,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),149,187,187,2,1,1,1209,0,303,6
0187 DIABLO,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),0,187,187,2,1,1,0,1,303,6
0204 DWIGHT,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),280,204,204,2,1,1,1266,0,344,6
0204 DWIGHT,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),425,204,204,2,1,1,1266,0,344,6
0204 DWIGHT,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),412,204,204,2,1,1,1266,0,344,6
0204 DWIGHT,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),146,204,204,2,1,1,1266,0,344,6
0204 DWIGHT,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),3,204,204,2,1,1,1266,1,344,6
0213 ELLSWORTH PARK,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),424,213,213,2,1,1,967,0,369,4
0213 ELLSWORTH PARK,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),177,213,213,2,1,1,967,0,369,4
0213 ELLSWORTH PARK,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),183,213,213,2,1,1,967,0,369,4
0213 ELLSWORTH PARK,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),176,213,213,2,1,1,967,0,369,4
0213 ELLSWORTH PARK,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),7,213,213,2,1,1,967,1,369,4
0214 ELWOOD,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),268,214,214,2,1,1,1549,0,483,6
0214 ELWOOD,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),568,214,214,2,1,1,1549,0,483,6
0214 ELWOOD,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),575,214,214,2,1,1,1549,0,483,6
0214 ELWOOD,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),135,214,214,2,1,1,1549,0,483,6
0214 ELWOOD,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),3,214,214,2,1,1,1549,1,483,6
0218 ESCALANTE,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),216,218,218,2,1,1,1231,0,345,2
0218 ESCALANTE,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),426,218,218,2,1,1,1231,0,345,2
0218 ESCALANTE,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),438,218,218,2,1,1,1231,0,345,2
0218 ESCALANTE,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),145,218,218,2,1,1,1231,0,345,2
0218 ESCALANTE,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),6,218,218,2,1,1,1231,1,345,2
0221 ESQUIRE,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),429,221,221,2,1,1,1608,0,466,10
0221 ESQUIRE,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),471,221,221,2,1,1,1608,0,466,10
0221 ESQUIRE,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),491,221,221,2,1,1,1608,0,466,10
0221 ESQUIRE,"LBT - WILL, CHRIS",,3,0,49,43,4,State Rep Dst 26 (vote for 2),214,221,221,2,1,1,1608,0,466,10
0221 ESQUIRE,Write-In Candidate,,0,0,49,43,5,State Rep Dst 26 (vote for 2),3,221,221,2,1,1,1608,1,466,10
0274 GUERRERO,"REP - ROY, JAMES",,1,0,49,43,1,State Rep Dst 26 (vote for 2),291,274,274,2,1,1,1157,0,341,12
0274 GUERRERO,"DEM - MENDEZ, JUAN JOSE",,2,0,49,43,2,State Rep Dst 26 (vote for 2),376,274,274,2,1,1,1157,0,341,12
0274 GUERRERO,"DEM - SHERWOOD, ANDREW",,2,0,49,43,3,State Rep Dst 26 (vote for 2),330,274,274,2,1,1,1157,0,341,12
