PRECINCT_NAME,CANDIDATE_FULL_NAME,contest_party_id,candidate_party_id,CONTEST_TYPE,contest_id,CONTEST_ORDER,CANDIDATE_ORDER,CONTEST_FULL_NAME,TOTAL,PRECINCT_ID,precinct_order,contest_vote_for,PROCESSED_DONE,PROCESSED_STARTED,CONTEST_TOTAL,IS_WRITEIN,undervote,overvote
0037 BALBOA,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,801,37,37,1,1,1,1368,0,155,2
0037 BALBOA,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,564,37,37,1,1,1,1368,0,155,2
0037 BALBOA,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,3,37,37,1,1,1,1368,1,155,2
0062 BUCKLEY,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,416,62,62,1,1,1,771,0,79,0
0062 BUCKLEY,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,351,62,62,1,1,1,771,0,79,0
0062 BUCKLEY,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,4,62,62,1,1,1,771,1,79,0
0070 CAIRO,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,846,70,70,1,1,1,1260,0,111,0
0070 CAIRO,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,411,70,70,1,1,1,1260,0,111,0
0070 CAIRO,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,3,70,70,1,1,1,1260,1,111,0
0096 CENTENNIAL,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,287,96,96,1,1,1,587,0,100,2
0096 CENTENNIAL,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,299,96,96,1,1,1,587,0,100,2
0096 CENTENNIAL,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,1,96,96,1,1,1,587,1,100,2
0163 DARROW,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,494,163,163,1,1,1,717,0,48,1
0163 DARROW,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,219,163,163,1,1,1,717,0,48,1
0163 DARROW,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,4,163,163,1,1,1,717,1,48,1
0187 DIABLO,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,414,187,187,1,1,1,689,0,69,1
0187 DIABLO,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,275,187,187,1,1,1,689,0,69,1
0187 DIABLO,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,0,187,187,1,1,1,0,1,69,1
0204 DWIGHT,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,462,204,204,1,1,1,732,0,74,2
0204 DWIGHT,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,267,204,204,1,1,1,732,0,74,2
0204 DWIGHT,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,3,204,204,1,1,1,732,1,74,2
0213 ELLSWORTH PARK,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,178,213,213,1,1,1,606,0,61,3
0213 ELLSWORTH PARK,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,422,213,213,1,1,1,606,0,61,3
0213 ELLSWORTH PARK,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,6,213,213,1,1,1,606,1,61,3
0214 ELWOOD,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,673,214,214,1,1,1,942,0,74,3
0214 ELWOOD,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,266,214,214,1,1,1,942,0,74,3
0214 ELWOOD,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,3,214,214,1,1,1,942,1,74,3
0218 ESCALANTE,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,475,218,218,1,1,1,734,0,55,0
0218 ESCALANTE,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,256,218,218,1,1,1,734,0,55,0
0218 ESCALANTE,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,3,218,218,1,1,1,734,1,55,0
0221 ESQUIRE,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,515,221,221,1,1,1,941,0,97,4
0221 ESQUIRE,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,417,221,221,1,1,1,941,0,97,4
0221 ESQUIRE,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,9,221,221,1,1,1,941,1,97,4
0274 GUERRERO,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,392,274,274,1,1,1,692,0,60,3
0274 GUERRERO,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,299,274,274,1,1,1,692,0,60,3
0274 GUERRERO,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,1,274,274,1,1,1,692,1,60,3
0287 HERITAGE,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,390,287,287,1,1,1,852,0,80,2
0287 HERITAGE,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,457,287,287,1,1,1,852,0,80,2
0287 HERITAGE,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,5,287,287,1,1,1,852,1,80,2
0301 HOLLIS,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,634,301,301,1,1,1,1032,0,86,1
0301 HOLLIS,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,395,301,301,1,1,1,1032,0,86,1
0301 HOLLIS,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,3,301,301,1,1,1,1032,1,86,1
0305 HONDA,"DEM - ABLESER, ED",,2,0,48,42,1,State Senator Dst 26,362,305,305,1,1,1,627,0,75,1
0305 HONDA,"IND - EAMES, DALE",,7,0,48,42,2,State Senator Dst 26,263,305,305,1,1,1,627,0,75,1
0305 HONDA,Write-In Candidate,,0,0,48,42,3,State Senator Dst 26,2,305,305,1,1,1,627,1,75,1
